year,title,category,date_or_window,date_status,programme_status,coverage,participation_mode,audience,impact_goal,price_inr,source_name,source_url
2026,National Girl Child Day 2026,Inclusion,2026-01-24,FIXED_ANNUAL_DATE,LOCAL_PROGRAMMES_VARY,Nationwide,Online + campus + community,Students; parents; educators; youth groups,Learn about rights and support equal opportunity,0,Press Information Bureau,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2217624
2026,National Voters' Day 2026,Civic,2026-01-25,FIXED_ANNUAL_DATE,LOCAL_PROGRAMMES_VARY,Nationwide,Online + public institutions,New voters; students; eligible citizens,Check enrolment and build electoral literacy,0,Election Commission of India,https://www.eci.gov.in/voicenet/ArticleDECUS.htm
2026,Republic Day Civic Programmes 2026,National,2026-01-26,FIXED_ANNUAL_DATE,LOCAL_PROGRAMMES_VARY,Nationwide,Public + campus + broadcast,Families; students; educators; citizens,Learn constitutional values through a verified programme,0,MyGov India,https://blog.mygov.in/editorial/73rd-republic-day-of-india/
2026,National Science Day 2026,Education,2026-02-28,FIXED_ANNUAL_DATE,LOCAL_PROGRAMMES_VARY,Nationwide,Campus + science centre + online,Students; teachers; researchers; learners,Join a science exhibition; quiz or open house,0,Department of Science and Technology,https://dst.gov.in/scientific-programmes/st-and-socio-economic-development/national-council-science-technology-communication-ncstc
2026,International Women's Day 2026,Inclusion,2026-03-08,FIXED_ANNUAL_DATE,LOCAL_PROGRAMMES_VARY,Nationwide,Online + workplace + campus + community,Women; students; professionals; educators; allies,Support rights; leadership; safety and opportunity,0,United Nations,https://www.un.org/en/observances/womens-day
2026,World Water Day 2026,Environment,2026-03-22,FIXED_ANNUAL_DATE,LOCAL_PROGRAMMES_VARY,Nationwide,Online + campus + community,Students; residents; environmental groups,Take practical action for water conservation,0,United Nations,https://www.un.org/en/observances/water-day
2026,World Health Day 2026,Health,2026-04-07,FIXED_ANNUAL_DATE,LOCAL_PROGRAMMES_VARY,Nationwide,Online + health institution + community,Families; students; health workers; public,Use evidence-based health resources and activities,0,World Health Organization,https://www.who.int/campaigns/world-health-day
2026,International Mother Earth Day 2026,Environment,2026-04-22,FIXED_ANNUAL_DATE,LOCAL_PROGRAMMES_VARY,Nationwide,Online + campus + community,Students; families; volunteers; environmental groups,Complete one measurable environmental action,0,United Nations,https://www.un.org/en/observances/earth-day
2026,National Technology Day 2026,Technology,2026-05-11,FIXED_ANNUAL_DATE,LOCAL_PROGRAMMES_VARY,Nationwide,Campus + innovation hub + online,Engineering students; researchers; founders; professionals,Attend a verified innovation or technology showcase,0,Department of Science and Technology,https://dst.gov.in/faqs/does-dst-celebrate-special-occasion-felicitate-outstanding-scientist
2026,World Environment Day 2026,Environment,2026-06-05,FIXED_ANNUAL_DATE,LOCAL_PROGRAMMES_VARY,Nationwide,Online + public + campus + community,Students; families; volunteers; institutions,Join a verified clean-up; restoration or learning action,0,United Nations Environment Programme,https://www.unep.org/events/un-day/world-environment-day
2026,International Day of Yoga 2026,Health,2026-06-21,FIXED_ANNUAL_DATE,LOCAL_PROGRAMMES_VARY,Nationwide,Public + campus + workplace + online,Beginners; families; students; professionals; seniors,Use the official protocol or a verified suitable session,0,Ministry of Ayush,https://yoga.ayush.gov.in/
2026,World Youth Skills Day 2026,Career,2026-07-15,FIXED_ANNUAL_DATE,LOCAL_PROGRAMMES_VARY,Nationwide,Online + campus + training centre,Students; job seekers; trainees; early-career professionals,Complete a skill audit and one verified learning activity,0,United Nations,https://www.un.org/en/observances/world-youth-skills-day
2026,National Handloom Day 2026,Livelihood,2026-08-07,FIXED_ANNUAL_DATE,LOCAL_PROGRAMMES_VARY,Nationwide,Exhibition + online + community,Families; students; designers; craft buyers,Learn to identify handloom and support verified artisans,0,Development Commissioner for Handlooms,https://handlooms.nic.in/
2026,Independence Day Community Programmes 2026,National,2026-08-15,FIXED_ANNUAL_DATE,LOCAL_PROGRAMMES_VARY,Nationwide,Public + campus + broadcast,Families; students; educators; citizens,Connect celebration with one community responsibility,0,MyGov India,https://www.mygov.in/
